Price,Price
Ticker,SHY
Date,
2003-09-26,54.43403625488281
2003-09-29,54.407676696777344
2003-09-30,54.519737243652344
2003-10-01,54.5283088684082
2003-10-02,54.5283088684082
2003-10-03,54.3897819519043
2003-10-06,54.42934799194336
2003-10-07,54.376548767089844
2003-10-08,54.376548767089844
2003-10-09,54.37002182006836
2003-10-10,54.402950286865234
2003-10-13,54.409515380859375
2003-10-14,54.35673904418945
2003-10-15,54.29082489013672
2003-10-16,54.16545486450195
2003-10-17,54.23145294189453
2003-10-20,54.23799514770508
2003-10-21,54.25122833251953
2003-10-22,54.310585021972656
2003-10-23,54.29742431640625
2003-10-24,54.3633918762207
2003-10-27,54.30399703979492
2003-10-28,54.396366119384766
2003-10-29,54.33696746826172
2003-10-30,54.29082489013672
2003-10-31,54.29742431640625
2003-11-03,54.26506805419922
